zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,priceForHDP,taxAssessedValue,lotAreaValue,brokerName
2060386932,837 Hastings St W #2203,V6C1B6,Vancouver,BC,49.286858,-123.114845,1658888.0,2.0,2.0,1170.0,CONDO,1658888.0,,0.0,RE/MAX Crest Realty Brokerage
2063495152,3777 W 8th Ave #111,V6R1Z2,Vancouver,BC,,,1298000.0,2.0,2.0,1628.0,CONDO,1298000.0,,0.0,Macdonald Realty Brokerage
2072710611,5120 Cambie St,V5Z3B2,Vancouver,BC,49.22662,-123.116745,1145900.0,2.0,2.0,1091.0,TOWNHOUSE,1145900.0,,0.0,RE/MAX Crest Realty Brokerage
314356019,6432 Ash St,V5Z3G9,Vancouver,BC,49.227127,-123.11769,2058000.0,3.0,3.0,1656.0,TOWNHOUSE,2058000.0,1707000.0,0.0,Nu Stream Realty Inc. Brokerage
2059953053,440 E 5th Ave #305,V5T1N5,Vancouver,BC,49.265896,-123.09416,579000.0,1.0,1.0,605.0,CONDO,579000.0,,0.0,Macdonald Realty Brokerage
314369722,2375 E 4th Ave,V5N1L2,Vancouver,BC,49.26703,-123.05704,1685000.0,4.0,4.0,1580.0,MULTI_FAMILY,1685000.0,1523100.0,3920.4,Oakwyn Realty Northwest Brokerage
314346754,5376 Connaught Dr,V6M3G6,Vancouver,BC,49.237503,-123.14076,15000000.0,8.0,8.0,7520.0,SINGLE_FAMILY,15000000.0,12185000.0,0.37,Macdonald Platinum Marketing Ltd. Brokerage
2059771837,1088 Marinaside Cres #F20,V6Z3C4,Vancouver,BC,49.27267,-123.11672,790000.0,0.0,0.0,101.0,SINGLE_FAMILY,790000.0,,0.0,RE/MAX City Realty Brokerage
2060249606,628 Kinghorne Mews #903,V6Z3H6,Vancouver,BC,49.272865,-123.13143,1524900.0,2.0,2.0,1006.0,CONDO,1524900.0,,0.0,Keller Williams Realty VanCentral Brokerage
2064140239,2100 W 3rd Ave #304,V6K1L1,Vancouver,BC,49.268757,-123.15318,638000.0,1.0,1.0,688.0,CONDO,638000.0,,0.0,The Partners Real Estate Brokerage
2075781726,1288 Alberni St #403,V6E4N5,Vancouver,BC,49.28687,-123.12674,999000.0,2.0,2.0,930.0,CONDO,999000.0,,0.0,Oakwyn Realty Ltd. Brokerage
2060902215,1289 Hornby St #5507,V6Z2H7,Vancouver,BC,49.282707,-123.1215,3490000.0,3.0,3.0,1640.0,CONDO,3490000.0,,0.0,Engel & Volkers Vancouver Brokerage
2059767951,628 W 13th Ave #105,V5Z1N9,Vancouver,BC,49.259136,-123.11844,589900.0,1.0,1.0,521.0,CONDO,589900.0,,0.0,Oakwyn Realty Ltd. Brokerage
2060259740,3438 Sawmill Cres #609,V5S0E3,Vancouver,BC,,,1299900.0,2.0,2.0,1362.0,CONDO,1299900.0,,0.0,eXp Realty Brokerage
2061236484,833 Seymour St #3904,V6B0G4,Vancouver,BC,49.28032,-123.11973,1425000.0,2.0,2.0,1005.0,CONDO,1425000.0,,0.0,"Angell, Hasman & Associates Realty Ltd. Brokerage"
2064227566,1333 Georgia St W #1511,V6E4V3,Vancouver,BC,49.28899,-123.12753,540000.0,1.0,0.0,432.0,CONDO,540000.0,,0.0,Oakwyn Realty Ltd. Brokerage
314389101,8486 Kerr St,V5S3E7,Vancouver,BC,49.207657,-123.04209,1299999.0,3.0,3.0,1329.0,TOWNHOUSE,1299999.0,952000.0,0.0,Sutton Group-West Coast Realty Brokerage
2061933414,1080 Pacific St #406,V6E4C2,Vancouver,BC,,,499900.0,1.0,1.0,516.0,CONDO,499900.0,,0.0,Macdonald Realty Westmar Brokerage
314323667,2074 Creelman Ave,V6J1C3,Vancouver,BC,49.27436,-123.151054,2598000.0,3.0,3.0,1436.0,MULTI_FAMILY,2598000.0,1589000.0,0.0,RE/MAX Select Properties Brokerage
314399836,2915 Parker St,V5K2T9,Vancouver,BC,49.275658,-123.043274,1550000.0,3.0,4.0,1749.0,MULTI_FAMILY,1550000.0,1420100.0,0.0,Engel & Volkers Vancouver Brokerage
314394764,1907 E 40th Ave,V5P1J1,Vancouver,BC,49.23394,-123.06724,1689999.0,4.0,3.0,1740.0,MULTI_FAMILY,1689999.0,1422600.0,4356.0,Sutton Group-West Coast Realty Brokerage
2068750768,1425 W 6th Ave #405,V6H4G5,Vancouver,BC,49.26643,-123.13716,1799999.0,2.0,2.0,1640.0,CONDO,1799999.0,,0.0,Stonehaus Realty Corp. Brokerage
2059784418,590 Nicola St #605,V6G3J8,Vancouver,BC,49.29059,-123.12786,1500000.0,2.0,2.0,1130.0,CONDO,1500000.0,,0.0,RE/MAX Masters Realty Brokerage
2060713301,1323 Homer St #806,V6B5T1,Vancouver,BC,49.27422,-123.12549,1099800.0,2.0,2.0,1085.0,CONDO,1099800.0,,0.0,Oakwyn Realty Ltd. Brokerage
2073522379,3163 Riverwalk Ave #312,V5S0A8,Vancouver,BC,,,798000.0,2.0,2.0,938.0,CONDO,798000.0,,0.0,RE/MAX Crest Realty Brokerage
2075231637,1480 Howe St PENTHOUSE 7,V6Z0G5,Vancouver,BC,,,9988000.0,4.0,3.0,3252.0,CONDO,9988000.0,,0.0,Dracco Pacific Realty Brokerage
2060433466,1010 Beach Ave #402,V6E1T7,Vancouver,BC,49.27562,-123.13419,1450000.0,2.0,2.0,1435.0,CONDO,1450000.0,,0.0,Sotheby's International Realty Canada Brokerage
314398025,3495 Franklin St,V5K1Y4,Vancouver,BC,49.2823,-123.02862,1500000.0,4.0,4.0,1546.0,MULTI_FAMILY,1500000.0,1347800.0,3920.4,RE/MAX Crest Realty Brokerage
314379515,368 E 33rd Ave,V5V2Z9,Vancouver,BC,49.240192,-123.09825,2960000.0,7.0,7.0,1945.0,SINGLE_FAMILY,2960000.0,1831000.0,3484.8,Sutton Group-West Coast Realty Brokerage
314354954,1398 W 57th Ave,V6P1S8,Vancouver,BC,49.219013,-123.13748,4900000.0,6.0,6.0,4966.0,SINGLE_FAMILY,4900000.0,3973000.0,9147.6,RE/MAX Westcoast Brokerage
2070775436,789 Drake St #1004,V6Z2N7,Vancouver,BC,49.27676,-123.12832,635000.0,1.0,2.0,660.0,CONDO,635000.0,,0.0,eXp Realty Brokerage
314410969,5269 Slocan St,V5R2A8,Vancouver,BC,49.236755,-123.05463,1675000.0,2.0,5.0,2300.0,SINGLE_FAMILY,1675000.0,1314000.0,3484.8,TRG The Residential Group Downtown Realty Brokerage
2059763140,1239 Georgia St W #2405,V6E4R8,Vancouver,BC,49.28773,-123.125626,729000.0,1.0,1.0,609.0,CONDO,729000.0,,0.0,Anson Realty Ltd. Brokerage
2063300271,180 E 2nd Ave #507,V5T1B5,Vancouver,BC,49.26885,-123.10121,899999.0,1.0,2.0,738.0,APARTMENT,899999.0,,,
2062267287,4165 Miller St,V5N3Z8,Vancouver,BC,,,1198000.0,3.0,3.0,1573.0,MULTI_FAMILY,1198000.0,,3484.8,Sutton Group-West Coast Realty Brokerage
2060712069,550 Taylor St #18,V6B1R1,Vancouver,BC,49.279778,-123.105576,789000.0,1.0,1.0,783.0,TOWNHOUSE,789000.0,,0.0,Royal LePage West Real Estate Services Brokerage
2061598928,489 Interurban Way #1505,V5X0C7,Vancouver,BC,,,548000.0,1.0,1.0,468.0,CONDO,548000.0,,0.0,Rennie & Associates Realty Ltd. Brokerage
314371408,2196 E 19th Ave,V5N2J6,Vancouver,BC,49.252098,-123.05985,1798000.0,3.0,4.0,1707.0,MULTI_FAMILY,1798000.0,1465900.0,47.15,Stilhavn Real Estate Services Brokerage
2060941167,988 E 10th Ave,V5T2B4,Vancouver,BC,,,1798000.0,4.0,3.0,1605.0,MULTI_FAMILY,1798000.0,,0.0,RE/MAX Select Realty Brokerage
2060185975,1551 W 11th Ave #208,V6J2B5,Vancouver,BC,49.261986,-123.139885,555000.0,1.0,1.0,685.0,CONDO,555000.0,,0.0,RE/MAX Crest Realty Brokerage
2060794454,1272 Comox St #403,V6E1K7,Vancouver,BC,49.28377,-123.132744,849000.0,2.0,2.0,851.0,CONDO,849000.0,,0.0,Sutton Group-West Coast Realty Brokerage
314375967,215 E 33rd Ave #210,V5V2Z7,Vancouver,BC,49.24077,-123.10106,659900.0,1.0,1.0,617.0,CONDO,659900.0,552000.0,0.0,Macdonald Realty (Surrey/152) Brokerage
2067835314,550 Taylor St #1003,V6B1R1,Vancouver,BC,49.279778,-123.105576,575000.0,1.0,0.0,554.0,CONDO,575000.0,,0.0,Faith Wilson Group Brokerage
2062146873,1330 Harwood St #307,V6E1S8,Vancouver,BC,,,530000.0,1.0,2.0,778.0,CONDO,530000.0,,0.0,Optim Pacific Realty Brokerage
314427217,1863 Alberni St #301,V6G3H8,Vancouver,BC,49.292774,-123.13474,1599000.0,2.0,2.0,1272.0,CONDO,1599000.0,1700000.0,0.0,Sutton Group-West Coast Realty Brokerage
2061599782,1887 Crowe St #903,V5Y0B4,Vancouver,BC,49.268284,-123.11225,1118000.0,2.0,2.0,1066.0,CONDO,1118000.0,,0.0,Sutton Group - 1st West Realty Brokerage
2065722713,1961 Collingwood St #216,V6R3K6,Vancouver,BC,,,3890000.0,5.0,3.0,3477.0,TOWNHOUSE,3890000.0,,0.0,Nu Stream Realty Inc. Brokerage
314426255,2329 Fraserview Dr,V5P2N5,Vancouver,BC,49.21206,-123.05892,2799000.0,6.0,7.0,4340.0,SINGLE_FAMILY,2799000.0,2235000.0,6969.6,eXp Realty Brokerage
2061646089,1028 Barclay St #3307,V6E0B1,Vancouver,BC,49.282032,-123.12576,1998000.0,2.0,2.0,1322.0,CONDO,1998000.0,,0.0,Royal LePage Sussex Brokerage
2060206326,499 Broughton St #604,V6G3K1,Vancouver,BC,49.290302,-123.12676,1588000.0,2.0,2.0,1261.0,CONDO,1588000.0,,0.0,Century 21 In Town Realty Brokerage
314335700,3329 W 42nd Ave,V6N3H3,Vancouver,BC,49.234074,-123.17957,7995000.0,5.0,5.0,4850.0,SINGLE_FAMILY,7995000.0,5292000.0,9147.6,Royal LePage Sussex Brokerage
314319654,4722 Drummond Dr,V6T1B4,Vancouver,BC,49.272545,-123.21682,16500000.0,4.0,7.0,4643.0,SINGLE_FAMILY,16500000.0,11530000.0,0.5900000000000001,Luxmore Realty Brokerage
2064203135,522 Moberly Rd #709,V5Z4G4,Vancouver,BC,49.267307,-123.11721,1349000.0,2.0,2.0,1339.0,CONDO,1349000.0,,0.0,Oakwyn Realty Downtown Ltd. Brokerage
2069504415,550 Taylor St #904,V6B1R1,Vancouver,BC,49.279778,-123.105576,823000.0,2.0,2.0,792.0,CONDO,823000.0,,0.0,Oakwyn Realty Ltd. Brokerage
2067594060,3870 W 26th Ave,V6S1P4,Vancouver,BC,,,7380000.0,7.0,8.0,5178.0,SINGLE_FAMILY,7380000.0,,6534.0,RE/MAX Select Properties Brokerage
314344107,2077 W 61st Ave,V6P2C6,Vancouver,BC,49.21637,-123.153786,6380000.0,7.0,5.0,5062.0,SINGLE_FAMILY,6380000.0,4174000.0,7840.8,Royal Pacific Realty Corp. Brokerage
2060264343,1233 Beach Ave #803,V6E1V4,Vancouver,BC,49.27988,-123.13736,2888800.0,2.0,3.0,1826.0,CONDO,2888800.0,,0.0,TRG The Residential Group Realty Brokerage
314329364,1912 W 14th Ave,V6J2K2,Vancouver,BC,49.258797,-123.148796,2098000.0,3.0,2.0,1752.0,MULTI_FAMILY,2098000.0,1961000.0,0.0,Macdonald Realty Brokerage
314393872,1450 E 30th Ave,V5N3A2,Vancouver,BC,49.2433,-123.074684,2199000.0,2.0,4.0,2218.0,SINGLE_FAMILY,2199000.0,1852300.0,6969.6,Royal Pacific Realty Corp. Brokerage
